NOMBRE,num_arboles,Temp_media,Temp_max,Temp_min
Nueva Villa de La Iguaná,0,36.05625966469484,38.31442423194975,33.79431571970154
Alejandro Echavarría,46,35.623886697511466,40.16134384265966,29.797312739604298
Picacho,26,38.808467894208874,43.44279173005776,31.920349080850908
Moscú No.2,1,34.317224288212294,38.989111550185996,28.77190686342181
Santo Domingo Savio No.1,2,33.446367002910236,38.59113513609505,26.64887045607976
El Danubio,1,37.956908613567805,40.673898242078394,33.752704920291286
La Avanzada,2,27.85165613279566,33.35918680838571,21.71607325613219
Perpetuo Socorro,34,43.054830492952966,48.76063634642496,33.92182269828679
San Lucas,32,30.460283474943527,35.70365126565516,23.35583121760298
Calasanz Parte Alta,16,35.71466005559038,40.09818485260702,28.742036255103194
Playón de Los Comuneros,0,37.612940277813024,41.637779889132155,30.632795790350304
El Chagualo,90,38.85224837591841,43.09905767164531,32.04146584151793
Cristo Rey,46,40.987714993131696,46.68827596095874,33.946937702404064
Los Conquistadores,31,38.09027089939925,43.23206332134725,33.46588852100418
Asomadera No.3,1,28.664184298600265,33.100011759630625,25.691379105713967
La Gloria,38,38.702189125779356,42.724710173669344,33.611080038886314
El Pesebre,0,36.19380147295616,40.30356318929181,30.228726345012753
Lalinde,2,33.53271521006733,37.90143827279129,31.447770680022533
Manrique Central No.1,5,38.518312755571856,40.49185160007899,35.36749651922896
Las Independencias,0,39.95536518928761,44.667631778756814,32.978151834742725
Parque Juan Pablo II,17,39.032471485041604,45.24869508064242,31.49636599395382
Moscú No.1,3,36.902931219150034,40.116760962918235,33.27507380947438
Bosques de San Pablo,8,36.15637705771431,42.94108581842563,31.06391202666781
Los Mangos,11,34.68688690026485,38.656077531692866,29.315669240496792
Los Cerros El Vergel,21,34.96374353465457,39.06757742320145,30.225754096369748
Miravalle,2,39.405466079898986,41.64699361815219,36.63260978461279
El Rodeo,15,34.08372754595023,41.02223909095026,30.642455383718175
La Milagrosa,1,38.0113346374222,41.27963082574602,34.45815460050697
El Castillo,8,32.18593671768624,37.56320280490916,26.904924749651855
San José La Cima No.1,0,26.664714529664632,32.591618474377135,22.4815610752034
El Raizal,0,34.19049495254615,37.650733795818205,25.863766228559587
Villa Guadalupe,5,35.26655194123877,38.90960556552523,30.887809759172907
El Poblado,6,36.82359668138178,40.44771447386849,32.17848388612433
Trinidad,20,42.81029802242092,48.11240146714294,38.150805034464604
La Palma,69,38.28458032501444,41.51190764941534,35.08840775129418
Naranjal,29,39.96560163961773,46.085812801989654,32.54822436569125
Doce de Octubre No.2,21,39.669890349188286,42.6982576940103,36.309086698076186
Granizal,1,34.37203698188632,38.800228925227174,28.059175383813702
San Bernardo,14,40.37178534798508,42.812835791347254,35.42679179873813
El Salvador,4,38.24821104100869,42.411589846495424,31.88914108380734
Sevilla,5,39.497613281961115,41.63302431612646,36.49440278193319
Santa Inés,4,33.89887270182662,38.27920377316833,27.115653173151337
El Progreso,8,41.987672194389454,46.71799787875681,36.03817143038342
Castropol,10,32.669514029785894,38.735880845633936,28.595507288049447
Belalcázar,2,37.17190099113693,40.39198593437246,32.53187731188521
Guayaquil,0,40.553050222164565,43.79544210509725,36.927599674789
Área de Expansión El Noral,0,31.932931934898292,36.3786360072839,28.951575751199915
Las Violetas,9,37.48780375880867,43.651439540831795,27.469789812665606
Santa María de Los Ángeles,44,34.83969496447923,40.62530289189879,29.094389558446434
La Pradera,4,38.81110829400881,42.8590533136167,33.52057684144406
